,pastel dresses,streetwear
2023-07-30 00:00:00,60,74
2023-08-06 00:00:00,55,72
2023-08-13 00:00:00,53,70
2023-08-20 00:00:00,44,71
2023-08-27 00:00:00,50,75
2023-09-03 00:00:00,44,68
2023-09-10 00:00:00,47,71
2023-09-17 00:00:00,53,70
2023-09-24 00:00:00,38,74
2023-10-01 00:00:00,48,72
2023-10-08 00:00:00,40,67
2023-10-15 00:00:00,43,77
2023-10-22 00:00:00,43,71
2023-10-29 00:00:00,39,68
2023-11-05 00:00:00,47,68
2023-11-12 00:00:00,45,78
2023-11-19 00:00:00,39,95
2023-11-26 00:00:00,44,83
2023-12-03 00:00:00,46,87
2023-12-10 00:00:00,42,87
2023-12-17 00:00:00,30,81
2023-12-24 00:00:00,44,77
2023-12-31 00:00:00,62,71
